Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,202408,15092091
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,236870,15219414
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,892028,13116314
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,827944,13316803
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,169612,12476022
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,157064,12508669
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,212170,12135074
2018-08-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,228150,11015280
2018-08-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,291465,11992764
2018-08-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,392826,10539292
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158608,11276991
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,234140,10535938
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,309018,11528251
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,349097,9895380
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,404108,9930947
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,336106,9354848
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,601224,11086146
2018-08-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,367988,10992188
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,494586,11380624
2018-08-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1086300,10389402
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379345,10669599
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,357146,9685651
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236783,10218741
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,318125,10555572
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188861,11112465
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195471,10933326
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220949,10843339
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,329222,10761560
2018-08-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,581232,11593621
2018-08-01 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,383760,11775778
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,883274,14484019
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3623090,12557904
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1703810,12058944
2018-07-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,2033320,11178960
