Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1851080,1611441
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,853887,1644530
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2493940,1542530
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,347518,1469174
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1372030,1457148
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,868256,1351465
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1120590,1313943
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,755592,1308409
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,551003,1408123
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,437109,1423474
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,416209,1628306
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,461971,1646650
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,677819,1878105
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,847003,1325770
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413071,1295216
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187901,1171298
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290407,1405768
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,171773,1868183
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112991,2007067
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,291090,2581403
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,354519,3453919
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,935233,3800960
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253294,4371879
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195027,4669806
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,232071,4547044
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,329637,4571490
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,930494,5106687
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1563240,6164915
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1646170,6111597
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,928521,6743577
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1601420,7255293
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2094870,8363629
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3067580,7879795
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1488030,7786689
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1638170,7668403
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1330580,6958710
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,934310,6892463
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1673940,6996663
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3813460,7736781
