Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,781930,10897469
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1147620,11456859
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1479030,10723978
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1179340,10296899
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,684794,10427757
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,602754,10377226
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,721812,10238838
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,836456,9814867
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1115190,10468707
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1519910,10561616
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1639550,11895072
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3276510,11692164
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5780190,11215708
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1868160,9467417
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,837785,9201117
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1361650,9165382
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1821310,10361085
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1309890,12152556
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,842602,12204028
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2039120,12574602
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3951360,13535436
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3104680,12848518
