Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,954,8111588
2018-08-29 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,3107,8025036
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3220,7595507
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,438,7191937
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4329,7346079
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17707,7450038
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2262,7194673
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17125,6824483
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21265,7285571
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31173,6645948
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9776,8460176
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9863,7705697
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,396,6290756
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,592,7877644
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,497,7071633
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4138,6805870
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6244,7094045
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6386,6590428
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4719,7308855
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48936,7621315
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1828,8377424
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,158,8268836
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3130,8430352
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,793,9343565
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4730,9539945
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7465,8923062
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9338,9504189
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5743,9270768
