Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2890150,17302107
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5148640,18279402
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5212780,17564599
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3686810,16175498
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6061350,14792321
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1498770,14329569
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1250410,14129557
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,855503,13303452
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1526850,14349098
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1277100,13724430
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1889950,15748957
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2784850,14312597
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4031470,17435571
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8709040,13650381
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3328520,13733862
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11858900,10837621
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1855540,11576454
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2148350,14119048
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,970034,14756571
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1388560,16004591
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1722990,18734838
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1536430,18006341
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3341470,20902705
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2852950,21398171
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2624050,22771527
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3654420,22654103
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9304400,22344391
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4823720,24724079
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5643890,26422647
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2775240,27272114
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3963760,30197268
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7126670,32129273
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15504200,34331644
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14490000,30344354
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3620630,28946290
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5116360,30748206
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10581400,31390050
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26814100,35609744
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70875400,32875784
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20904000,28756382
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12613200,29051928
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5719710,27204596
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5111850,29176750
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9848360,32739302
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7408210,31074836
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4517380,30622656
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4404460,30437608
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6029580,32427490
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12119200,32575660
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8377220,35556044
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21025300,32693156
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13089900,36435748
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19314000,44146112
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9629130,44498008
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15519700,44544636
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30863900,46059128
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45077600,60563540
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78690496,54467080
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,247996992,40459800
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75669296,48931324
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,204020992,59879264
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,473580992,37600420
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94651800,21895592
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55028400,16246694
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11402600,13619796
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91259,14168261
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120699,13560882
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76701,13998346
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34396,13429421
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100292,15498989
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164121,15503873
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137385,15165024
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274922,13136489
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69778,12671625
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60095,12117657
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66600,12028498
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94826,12280261
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51776,10948298
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76001,11946001
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107286,12153205
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102360,12109407
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101721,13677478
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118404,13877452
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,257078,13810240
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,380522,14043283
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226046,13059421
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136799,12884932
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222148,13664360
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138902,13730217
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68799,14040662
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80446,14099327
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76323,13202847
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103161,13239749
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60168,12543500
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66411,13674842
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65167,13701404
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67423,13992618
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44632,14466106
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63411,13904180
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164403,15830837
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103104,17082968
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149566,17640068
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,309578,18248184
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252874,17529586
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164422,17312966
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188684,19366266
