Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119444,5622998
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116583,5873162
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113578,5708128
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48425,6283640
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114824,7336958
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83131,7683889
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150169,5924067
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85697,6386213
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76382,6984532
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94258,6867734
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176228,7675768
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,244996,7587600
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303004,7746807
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,458205,7414392
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,471179,7871401
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,519494,5931607
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,525905,7168575
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,390390,6958607
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454914,6393348
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,443686,6378248
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,456378,7797549
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,487139,7825977
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,483886,8702544
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,382684,8292312
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413948,8566766
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,419854,9141980
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,464992,9726442
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,534279,9298524
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,451815,10324555
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,444366,9515528
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,431069,11627344
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,417575,11868240
