Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,4.5,4.6,4.0,4.4,939934,45466251
2018-08-29 00:00:00 +0000 UTC,4.7,4.9,4.5,4.6,1218180,47318106
2018-08-28 00:00:00 +0000 UTC,4.4,4.8,4.4,4.8,978813,43670321
2018-08-27 00:00:00 +0000 UTC,4.0,4.5,3.9,4.4,779983,39487302
2018-08-26 00:00:00 +0000 UTC,4.0,4.0,3.8,4.0,526079,39936519
2018-08-25 00:00:00 +0000 UTC,3.8,4.0,3.7,4.0,380633,38235178
2018-08-24 00:00:00 +0000 UTC,3.7,3.8,3.6,3.8,462432,36911099
2018-08-23 00:00:00 +0000 UTC,3.5,3.7,3.5,3.7,342536,35421600
2018-08-22 00:00:00 +0000 UTC,3.7,3.9,3.4,3.5,703358,36866825
2018-08-21 00:00:00 +0000 UTC,3.5,3.7,3.4,3.7,1018460,34492128
2018-08-20 00:00:00 +0000 UTC,3.7,3.8,3.4,3.4,883810,36925459
2018-08-19 00:00:00 +0000 UTC,3.8,4.0,3.5,3.7,912611,38044748
2018-08-18 00:00:00 +0000 UTC,3.5,4.0,3.4,3.8,1449370,34626112
2018-08-17 00:00:00 +0000 UTC,2.7,3.5,2.7,3.5,1132140,26925836
2018-08-16 00:00:00 +0000 UTC,2.7,2.8,2.6,2.7,728598,26686497
2018-08-15 00:00:00 +0000 UTC,2.5,3.1,2.5,2.7,875635,25239139
2018-08-14 00:00:00 +0000 UTC,2.4,2.6,1.9,2.5,699184,24091372
2018-08-13 00:00:00 +0000 UTC,3.0,3.0,2.3,2.4,661313,29596004
2018-08-12 00:00:00 +0000 UTC,2.9,3.0,2.8,2.9,332962,28759732
2018-08-11 00:00:00 +0000 UTC,2.9,3.0,2.6,2.9,352101,28649237
2018-08-10 00:00:00 +0000 UTC,3.2,3.2,2.8,2.9,272623,32101328
2018-08-09 00:00:00 +0000 UTC,3.1,3.3,2.9,3.2,598625,31549902
2018-08-08 00:00:00 +0000 UTC,3.6,3.6,3.1,3.1,379463,36039605
2018-08-07 00:00:00 +0000 UTC,3.7,3.9,3.6,3.6,424188,37246711
2018-08-06 00:00:00 +0000 UTC,3.8,3.9,3.6,3.7,369866,37636490
2018-08-05 00:00:00 +0000 UTC,3.8,3.9,3.7,3.8,509828,37459970
2018-08-04 00:00:00 +0000 UTC,4.2,4.4,3.7,3.8,715480,42008576
2018-08-03 00:00:00 +0000 UTC,4.8,4.8,4.1,4.2,924338,47545815
2018-08-02 00:00:00 +0000 UTC,5.1,5.2,4.7,4.8,524843,51405420
2018-08-01 00:00:00 +0000 UTC,5.2,5.3,4.8,5.1,586419,52361789
2018-07-31 00:00:00 +0000 UTC,5.3,5.4,5.0,5.2,660382,52555232
2018-07-30 00:00:00 +0000 UTC,5.5,5.7,5.1,5.2,937791,55396700
2018-07-29 00:00:00 +0000 UTC,5.5,5.8,5.4,5.5,759847,55520900
2018-07-28 00:00:00 +0000 UTC,5.4,5.5,5.3,5.5,797444,53779300
2018-07-27 00:00:00 +0000 UTC,5.3,5.5,5.1,5.4,848838,53540500
2018-07-26 00:00:00 +0000 UTC,5.8,6.0,5.3,5.4,899313,57916900
2018-07-25 00:00:00 +0000 UTC,5.5,6.0,5.5,5.8,1539620,55473100
2018-07-24 00:00:00 +0000 UTC,5.7,5.8,5.3,5.6,1402310,56945100
2018-07-23 00:00:00 +0000 UTC,6.0,6.3,5.7,5.7,1165850,59818904
2018-07-22 00:00:00 +0000 UTC,6.3,6.4,6.0,6.0,797737,62840400
2018-07-21 00:00:00 +0000 UTC,6.0,6.3,5.9,6.3,556047,60151500
2018-07-20 00:00:00 +0000 UTC,6.5,6.6,6.0,6.0,686441,64861700
2018-07-19 00:00:00 +0000 UTC,6.8,6.9,6.4,6.5,940646,68461800
2018-07-18 00:00:00 +0000 UTC,7.0,7.5,6.8,6.9,1333560,70099304
2018-07-17 00:00:00 +0000 UTC,6.9,7.2,6.5,7.0,1354270,68663704
2018-07-16 00:00:00 +0000 UTC,6.8,7.0,6.4,6.9,1938880,67791096
2018-07-15 00:00:00 +0000 UTC,7.0,7.0,6.7,6.8,1088870,69656800
2018-07-14 00:00:00 +0000 UTC,6.5,7.1,6.5,7.0,1831680,65065900
2018-07-13 00:00:00 +0000 UTC,6.4,6.7,6.4,6.5,1282780,63872900
2018-07-12 00:00:00 +0000 UTC,6.6,6.6,6.2,6.4,1004860,66209300
2018-07-11 00:00:00 +0000 UTC,6.5,6.7,6.3,6.6,1629210,65349204
2018-07-10 00:00:00 +0000 UTC,6.8,6.9,6.1,6.5,1944250,68242400
2018-07-09 00:00:00 +0000 UTC,7.5,7.7,6.6,6.8,3815080,75303600
2018-07-08 00:00:00 +0000 UTC,6.6,7.8,6.3,7.6,6727180,65775300
2018-07-07 00:00:00 +0000 UTC,5.7,6.7,5.7,6.6,4221550,56982500
2018-07-06 00:00:00 +0000 UTC,5.6,5.8,5.2,5.7,2493580,56151100
2018-07-05 00:00:00 +0000 UTC,6.2,6.3,5.6,5.6,2295300,61630704
2018-07-04 00:00:00 +0000 UTC,6.0,6.4,5.9,6.2,1611910,59744600
2018-07-03 00:00:00 +0000 UTC,6.5,6.8,5.9,6.0,2532710,58392180
2018-07-02 00:00:00 +0000 UTC,5.8,6.7,5.7,6.5,3008060,52233840
2018-07-01 00:00:00 +0000 UTC,5.9,6.0,5.6,5.8,2144750,52857092
2018-06-30 00:00:00 +0000 UTC,5.7,6.1,5.7,5.9,1344700,51665580
2018-06-29 00:00:00 +0000 UTC,5.4,5.9,5.3,5.7,1037800,48920044
2018-06-28 00:00:00 +0000 UTC,5.9,6.0,5.4,5.4,1462550,52806956
2018-06-27 00:00:00 +0000 UTC,6.0,6.2,5.7,5.9,1459850,54056384
2018-06-26 00:00:00 +0000 UTC,6.1,6.4,6.0,6.0,1738310,54725156
2018-06-25 00:00:00 +0000 UTC,5.6,6.4,5.5,6.1,2163390,50740308
2018-06-24 00:00:00 +0000 UTC,6.2,6.3,4.9,5.7,3928550,55480296
2018-06-23 00:00:00 +0000 UTC,6.1,6.4,6.0,6.2,2058620,55144252
2018-06-22 00:00:00 +0000 UTC,7.5,8.0,5.9,6.1,8129740,67763912
2018-06-21 00:00:00 +0000 UTC,6.3,7.8,6.2,7.5,12974700,56759032
2018-06-20 00:00:00 +0000 UTC,7.2,7.2,6.1,6.3,8709820,64498092
2018-06-19 00:00:00 +0000 UTC,7.9,7.9,6.0,7.2,29682800,70748504
2018-06-18 00:00:00 +0000 UTC,9.8,9.8,6.6,7.8,22258700,88200256
2018-06-17 00:00:00 +0000 UTC,11.2,11.3,9.8,9.8,3350340,100968296
2018-06-16 00:00:00 +0000 UTC,11.7,11.8,10.8,11.2,2265600,105156616
2018-06-15 00:00:00 +0000 UTC,12.4,12.5,11.6,11.7,1870630,112053448
2018-06-14 00:00:00 +0000 UTC,11.6,13.2,11.4,12.5,5487390,104733720
2018-06-13 00:00:00 +0000 UTC,12.5,12.6,10.8,11.6,52289400,112865664
2018-06-12 00:00:00 +0000 UTC,15.0,15.0,12.3,12.5,33528400,134971520
2018-06-11 00:00:00 +0000 UTC,15.2,15.2,13.4,15.1,33332300,136620816
2018-06-10 00:00:00 +0000 UTC,20.1,20.1,14.8,14.8,43078500,181290976
2018-06-09 00:00:00 +0000 UTC,21.8,22.4,20.1,20.1,18392700,196326160
2018-06-08 00:00:00 +0000 UTC,23.0,23.2,21.7,21.8,48764800,207307664
2018-06-07 00:00:00 +0000 UTC,23.9,24.7,22.9,23.1,52741600,215027744
2018-06-06 00:00:00 +0000 UTC,21.9,24.8,21.6,24.7,9407510,197224320
2018-06-05 00:00:00 +0000 UTC,21.3,23.4,21.2,21.9,5826130,191563488
2018-06-04 00:00:00 +0000 UTC,20.5,22.8,19.3,21.2,7302650,184582112
2018-06-03 00:00:00 +0000 UTC,20.2,20.9,19.8,20.6,1273000,181708528
2018-06-02 00:00:00 +0000 UTC,20.2,21.1,20.1,20.1,925629,181629936
2018-06-01 00:00:00 +0000 UTC,20.5,21.0,19.9,20.9,1209560,184434512
2018-05-31 00:00:00 +0000 UTC,20.0,20.7,19.7,20.4,1510830,180003232
2018-05-30 00:00:00 +0000 UTC,21.0,21.4,19.1,20.0,1980350,188729488
2018-05-29 00:00:00 +0000 UTC,18.6,22.1,18.4,20.9,2477660,167316688
2018-05-28 00:00:00 +0000 UTC,20.9,21.4,18.4,18.7,2487310,188429984
2018-05-27 00:00:00 +0000 UTC,22.2,22.5,20.8,21.0,2807040,199839264
2018-05-26 00:00:00 +0000 UTC,23.9,24.6,22.1,22.2,2398470,215293440
2018-05-25 00:00:00 +0000 UTC,24.9,26.1,23.0,24.0,4506850,223841488
2018-05-24 00:00:00 +0000 UTC,31.9,36.4,23.4,25.0,19994500,287019808
2018-05-23 00:00:00 +0000 UTC,23.9,35.2,23.6,33.0,7310940,215320976
2018-05-22 00:00:00 +0000 UTC,25.7,26.7,23.4,24.0,1535580,231190960
2018-05-21 00:00:00 +0000 UTC,22.9,26.0,22.6,25.6,1847690,205948048
2018-05-20 00:00:00 +0000 UTC,22.6,23.8,22.1,22.9,939239,203497600
2018-05-19 00:00:00 +0000 UTC,23.2,23.6,22.2,22.5,915881,208758320
2018-05-18 00:00:00 +0000 UTC,23.7,23.7,21.9,23.2,1254920,213162160
2018-05-17 00:00:00 +0000 UTC,24.1,24.8,23.3,23.7,1752000,214627488
2018-05-16 00:00:00 +0000 UTC,24.0,25.3,23.7,24.1,853979,211706016
2018-05-15 00:00:00 +0000 UTC,25.0,25.8,23.5,23.7,1703710,220674640
2018-05-14 00:00:00 +0000 UTC,26.8,26.8,24.3,25.0,1401490,236443296
2018-05-13 00:00:00 +0000 UTC,23.7,26.9,23.2,26.8,1686940,208532960
2018-05-12 00:00:00 +0000 UTC,22.4,23.7,21.9,23.1,1513030,197617712
2018-05-11 00:00:00 +0000 UTC,24.8,25.4,22.4,22.4,1301090,218719456
2018-05-10 00:00:00 +0000 UTC,25.4,27.6,24.7,24.8,2317020,220250016
2018-05-09 00:00:00 +0000 UTC,22.3,25.5,22.2,25.4,1960540,191124544
2018-05-08 00:00:00 +0000 UTC,21.4,22.6,20.5,22.3,1584210,178162384
2018-05-07 00:00:00 +0000 UTC,21.4,22.5,20.9,21.4,2108550,178224400
2018-05-06 00:00:00 +0000 UTC,19.4,21.7,19.3,21.6,2302670,156875648
2018-05-05 00:00:00 +0000 UTC,19.0,19.7,18.9,19.4,1237030,152994944
2018-05-04 00:00:00 +0000 UTC,19.2,19.6,18.8,19.0,1768640,154912928
2018-05-03 00:00:00 +0000 UTC,18.9,20.1,18.5,19.3,1465420,152183184
2018-05-02 00:00:00 +0000 UTC,17.7,19.1,17.4,19.0,1275930,142445568
2018-05-01 00:00:00 +0000 UTC,18.3,18.3,17.2,17.7,1168440,147701488
2018-04-30 00:00:00 +0000 UTC,18.6,19.1,18.1,18.3,1066430,149437072
2018-04-29 00:00:00 +0000 UTC,19.2,19.3,17.7,18.4,1627290,155002352
2018-04-28 00:00:00 +0000 UTC,17.9,19.8,17.8,19.2,1220910,144152000
2018-04-27 00:00:00 +0000 UTC,19.3,19.9,17.8,18.0,1517380,155484672
2018-04-26 00:00:00 +0000 UTC,17.9,19.3,17.2,19.3,1821570,143909424
2018-04-25 00:00:00 +0000 UTC,19.9,19.9,17.5,17.7,1663440,160404464
2018-04-24 00:00:00 +0000 UTC,19.3,20.0,18.8,20.0,2368690,155423472
2018-04-23 00:00:00 +0000 UTC,20.2,20.3,19.1,19.4,2067190,162856192
2018-04-22 00:00:00 +0000 UTC,18.3,20.3,17.2,20.3,2979590,147349088
2018-04-21 00:00:00 +0000 UTC,16.7,18.3,15.3,18.3,2644720,134377808
2018-04-20 00:00:00 +0000 UTC,16.0,16.8,15.5,16.7,1802420,129133320
2018-04-19 00:00:00 +0000 UTC,15.8,16.3,15.6,16.0,2274180,127197872
2018-04-18 00:00:00 +0000 UTC,15.3,16.1,15.0,15.7,2510180,123566072
2018-04-17 00:00:00 +0000 UTC,16.3,16.6,15.0,15.3,2481690,131276016
2018-04-16 00:00:00 +0000 UTC,16.6,17.0,14.9,16.0,3013290,133506112
2018-04-15 00:00:00 +0000 UTC,18.0,18.4,15.9,16.1,4728120,143965040
2018-04-14 00:00:00 +0000 UTC,18.8,19.4,17.6,18.1,5123790,150036544
2018-04-13 00:00:00 +0000 UTC,18.9,20.4,18.5,18.7,4695970,150760576
2018-04-12 00:00:00 +0000 UTC,16.2,19.3,15.8,18.8,5645940,129294544
2018-04-11 00:00:00 +0000 UTC,17.8,17.9,15.2,16.3,5390520,138319264
2018-04-10 00:00:00 +0000 UTC,15.7,17.8,14.7,17.8,7070600,122121024
2018-04-09 00:00:00 +0000 UTC,14.1,16.7,12.9,15.6,719786,109721936
2018-04-08 00:00:00 +0000 UTC,13.4,14.1,12.9,14.1,491438,103988704
2018-04-07 00:00:00 +0000 UTC,12.6,14.3,12.5,13.4,370909,97596376
2018-04-06 00:00:00 +0000 UTC,12.0,13.1,12.0,12.5,582537,93223832
2018-04-05 00:00:00 +0000 UTC,13.3,13.4,11.8,12.1,661441,103506000
2018-04-04 00:00:00 +0000 UTC,13.6,14.1,12.7,13.3,504753,105372576
2018-04-03 00:00:00 +0000 UTC,13.1,14.0,12.7,13.6,515701,101807936
2018-04-02 00:00:00 +0000 UTC,12.7,13.7,12.4,13.0,761868,98640040
2018-04-01 00:00:00 +0000 UTC,14.0,15.2,12.0,12.7,395575,108660336
2018-03-31 00:00:00 +0000 UTC,14.1,14.4,11.8,14.0,477199,109824192
2018-03-30 00:00:00 +0000 UTC,11.6,14.3,10.6,14.3,899932,89852616
2018-03-29 00:00:00 +0000 UTC,10.7,15.5,10.7,11.6,1305160,82986048
2018-03-28 00:00:00 +0000 UTC,11.0,11.1,9.0,10.7,361014,84772112
2018-03-27 00:00:00 +0000 UTC,9.5,11.5,8.2,11.0,403544,73191720
2018-03-26 00:00:00 +0000 UTC,11.4,11.6,9.1,9.5,304781,87954800
2018-03-25 00:00:00 +0000 UTC,10.5,22.8,9.4,11.4,331736,80902328
2018-03-24 00:00:00 +0000 UTC,10.8,10.9,10.0,10.5,302531,83573024
2018-03-23 00:00:00 +0000 UTC,10.7,11.0,9.4,10.7,436393,82730416
2018-03-22 00:00:00 +0000 UTC,11.2,14.2,10.0,10.7,261226,86486160
2018-03-21 00:00:00 +0000 UTC,10.5,12.3,9.4,11.2,422205,81172608
2018-03-20 00:00:00 +0000 UTC,10.0,10.8,9.4,10.5,373078,77403984
2018-03-19 00:00:00 +0000 UTC,9.2,10.0,8.8,10.0,260877,70838360
2018-03-18 00:00:00 +0000 UTC,9.5,9.8,7.9,9.2,332560,73296624
2018-03-17 00:00:00 +0000 UTC,12.0,12.0,7.5,9.4,441030,92532952
2018-03-16 00:00:00 +0000 UTC,10.6,12.0,9.2,12.0,315802,82237640
2018-03-15 00:00:00 +0000 UTC,10.5,10.7,9.1,10.7,592448,81233888
2018-03-14 00:00:00 +0000 UTC,11.4,12.8,10.0,10.5,438147,88458176
2018-03-13 00:00:00 +0000 UTC,11.7,12.7,9.8,11.5,408610,90073800
2018-03-12 00:00:00 +0000 UTC,11.2,12.4,11.2,11.7,697833,86069648
2018-03-11 00:00:00 +0000 UTC,10.9,11.9,10.4,11.2,517776,83731848
2018-03-10 00:00:00 +0000 UTC,12.1,12.6,10.9,11.0,834476,92820600
2018-03-09 00:00:00 +0000 UTC,11.8,12.4,10.5,12.1,574918,90245328
2018-03-08 00:00:00 +0000 UTC,13.1,13.4,11.5,11.8,397143,100918248
2018-03-07 00:00:00 +0000 UTC,14.8,14.8,12.8,13.2,957383,113101088
2018-03-06 00:00:00 +0000 UTC,13.7,16.1,13.7,14.8,940929,105008656
2018-03-05 00:00:00 +0000 UTC,15.7,16.2,13.7,13.7,588876,119829568
2018-03-04 00:00:00 +0000 UTC,15.7,15.9,13.8,15.7,641943,120106496
2018-03-03 00:00:00 +0000 UTC,14.8,16.2,14.6,15.7,539404,113090600
2018-03-02 00:00:00 +0000 UTC,19.4,19.4,13.7,14.9,859049,148047056
2018-03-01 00:00:00 +0000 UTC,15.5,19.6,14.8,19.5,861946,115623096
2018-02-28 00:00:00 +0000 UTC,17.4,17.8,15.2,15.2,422073,129409456
2018-02-27 00:00:00 +0000 UTC,16.7,17.8,16.4,17.3,618789,124291272
2018-02-26 00:00:00 +0000 UTC,15.7,17.2,15.2,16.6,510709,116969752
2018-02-25 00:00:00 +0000 UTC,15.9,16.4,15.3,15.7,463992,118737736
2018-02-24 00:00:00 +0000 UTC,17.1,17.5,15.2,15.9,689805,127068040
2018-02-23 00:00:00 +0000 UTC,18.2,18.6,16.7,17.1,431983,136040384
2018-02-22 00:00:00 +0000 UTC,18.7,19.9,16.6,18.2,479454,139651920
2018-02-21 00:00:00 +0000 UTC,21.2,21.2,18.0,18.8,621255,157860480
2018-02-20 00:00:00 +0000 UTC,20.0,21.9,19.4,21.2,700151,149161520
2018-02-19 00:00:00 +0000 UTC,18.7,22.3,17.6,19.9,663062,139150720
2018-02-18 00:00:00 +0000 UTC,22.0,23.1,18.7,18.8,744701,164178208
2018-02-17 00:00:00 +0000 UTC,19.3,22.1,19.1,22.0,808203,143993008
2018-02-16 00:00:00 +0000 UTC,19.3,20.1,19.1,19.2,481063,143903536
2018-02-15 00:00:00 +0000 UTC,18.3,19.8,18.0,19.4,765894,135990272
2018-02-14 00:00:00 +0000 UTC,16.9,18.4,16.9,17.9,726691,126165680
2018-02-13 00:00:00 +0000 UTC,17.9,19.2,16.8,17.0,583611,133432056
