Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,12219,14585238
2018-08-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,5941,14686289
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10187,13998220
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8808,13662210
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1644,13400933
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1157,13697599
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7173,13772415
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9074,13860577
2018-08-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,25845,13413763
2018-08-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,7054,12801341
2018-08-20 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,7044,13748953
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2633,13806683
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2937,15024137
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,9444,15582973
2018-08-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,22055,12632261
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9175,12825722
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11413,14412434
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,18378,16153722
2018-08-12 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,14744,14038312
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,11104,16593759
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6044,18755452
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11394,15625244
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,7283,17566455
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38377,15999179
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17827,17903545
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5325,18066566
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29968,18772165
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,35928,21267351
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18150,19312174
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,32866,19484374
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21033,20766365
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,276471,21220359
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,250036,19658032
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,240432,19705558
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,231569,20417834
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,325940,20846384
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,308395,20967392
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,306135,21017530
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,265727,21364500
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,262415,21150208
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,268704,21449142
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,294447,21330654
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,284029,22180498
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,316248,22281430
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,249912,22145962
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,298014,20401990
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,209860,20558974
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,214668,21888314
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,551482,24025644
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,539826,23640480
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,413472,25505366
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,274346,25142404
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,570925,24656304
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,625899,25493966
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,438075,19861072
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,403217,24452036
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,688583,25872770
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,406981,29107868
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,518535,29111320
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,459953,27082006
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,158711,24891960
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,131264,23877482
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,661177,28738456
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,501370,28351746
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,558343,28294644
