Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,3925950,265882017
2018-08-29 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,3519250,276635116
2018-08-28 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,2774320,262508917
2018-08-27 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,2642020,247458859
2018-08-26 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,1835370,250587059
2018-08-25 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,969076,245602005
2018-08-24 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,1777200,242374065
2018-08-23 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,1086740,235603380
2018-08-22 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,1901630,237966645
2018-08-21 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,3111280,233788308
2018-08-20 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,1073380,256048374
2018-08-19 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,1860300,247709765
2018-08-18 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,2780790,272410927
2018-08-17 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,3795660,238691099
2018-08-16 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,2795080,236011036
2018-08-15 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,2897850,231783950
2018-08-14 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,7792080,239971433
2018-08-13 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,7390590,262363668
2018-08-12 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,2191330,260562916
2018-08-11 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,4695780,269246254
2018-08-10 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,4636430,290504110
2018-08-09 00:00:00 +0000 UTC,1.0,1.1,1.0,1.1,3343670,278521735
2018-08-08 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,3981900,301439804
2018-08-07 00:00:00 +0000 UTC,1.1,1.2,1.1,1.1,3264020,309869464
2018-08-06 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,3067200,315506450
2018-08-05 00:00:00 +0000 UTC,1.1,1.2,1.1,1.2,3090170,308218906
2018-08-04 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,5821000,321386374
2018-08-03 00:00:00 +0000 UTC,1.2,1.2,1.1,1.2,13899500,314709138
2018-08-02 00:00:00 +0000 UTC,1.3,1.9,1.2,1.2,5974520,339433401
2018-08-01 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,9269610,348074986
2018-07-31 00:00:00 +0000 UTC,1.4,1.5,1.3,1.3,68206800,366764542
