Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93923,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91275,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78081,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42317,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104778,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130413,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120004,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,147459,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155927,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,193560,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151301,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140848,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,166313,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168289,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175062,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164082,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161306,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156395,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132314,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151863,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176187,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174734,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110931,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93696,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144316,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197880,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,192145,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222474,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,190655,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167207,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195867,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227224,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226341,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231918,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,245407,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220276,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,193985,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222227,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233933,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222362,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176556,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189417,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,250075,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,216591,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,238331,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208472,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,185921,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158191,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175458,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146839,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,157460,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,190701,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,228005,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68481,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52786,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,284408,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,291738,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181858,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236078,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,284628,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212416,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,277264,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,234844,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213483,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210863,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,254543,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163450,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211218,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317331,0
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237301,0
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,383135,0
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,319681,0
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,341805,0
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,347875,0
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,294004,0
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302989,0
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,268494,0
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261445,0
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239301,0
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,378926,0
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66639,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,215209,0
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227818,0
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,262494,0
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243693,0
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,244685,0
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,228008,0
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,270928,0
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,248043,0
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241018,0
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,255861,0
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236685,0
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89118,0
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210106,0
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,219912,0
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227828,0
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,221514,0
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227628,0
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218222,0
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202168,0
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202261,0
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,277514,0
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,448423,0
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,445111,0
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,336653,0
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,414704,0
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,346070,0
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,354157,0
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,344795,0
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379201,0
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,441416,0
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,408258,0
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,377133,0
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658833,0
2018-05-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,819186,0
2018-05-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,625752,0
