Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1764090,45336363
2018-08-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2531520,43636428
2018-08-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2020030,41619455
2018-08-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1184620,39233182
2018-08-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1107040,39301338
2018-08-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1168150,38585859
2018-08-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1217510,37440927
2018-08-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,925277,35948248
2018-08-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1487510,38752262
2018-08-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,910933,38359393
2018-08-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,886320,41227496
2018-08-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,971301,39881128
2018-08-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1414650,45108800
2018-08-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1416770,38574973
2018-08-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,980069,37701447
2018-08-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1578990,37204531
2018-08-14 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,1400500,38652602
2018-08-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2065320,45975242
2018-08-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2137580,44895196
2018-08-11 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,3886710,53841041
2018-08-10 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2019200,58637407
2018-08-09 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1915790,56601312
