Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,95611
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,448,87057
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,83883
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,87031
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,87899
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,100865
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,85026
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,79663
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,84268
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,90055
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,91325
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,84795
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,87646
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,83577
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114,76613
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,89111
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,83594
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,85592
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,83663
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,114061
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,88531
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,93590
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,87482
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,95571
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,106392
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136,125028
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,135279
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,140216
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,139813
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,162,157684
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,172263
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,170734
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,433,164064
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,159062
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,167417
2018-07-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,57,169754
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,50,187021
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,148,174214
2018-07-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,42,165658
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,166600
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,163299
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,155403
