Date,Open,High,Low,Close,Volume,MarketCap
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27,328410
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27,320008
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6,319848
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,317302
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,311598
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,299972
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30,279417
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,125,399839
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,42,344663
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44,340868
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,309280
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,297702
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,318627
2018-08-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,46,182817
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,220,312174
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,427,368586
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,397358
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,397106
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5,445091
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,73,429666
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,61,440110
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20,540571
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,503651
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,83,482342
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10,482502
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,140,511973
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14,521253
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,517951
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,510260
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,468729
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11,435658
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34,428644
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33,426372
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,426466
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23,427708
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22,422682
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,445338
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14,445443
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,97,448557
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,400,401101
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27,416013
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54,418991
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,101,413156
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,400511
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,386277
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11,386057
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37,384441
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9,346842
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9,343577
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29,376331
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7,354935
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,367907
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,90,302842
