Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,281484,56741640
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,291474,59252633
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,308740,57406793
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,352438,54825881
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,232880,53875312
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,261659,51465523
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,279999,49783350
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,214915,48025072
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,256546,52576797
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,141585,51925908
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,234563,54437804
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,212112,52786001
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,343839,57230433
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,489715,50661910
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,255017,50330587
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,558494,48070342
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,437418,48733322
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,472279,55527464
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,111559,56504430
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,307150,57182208
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,278445,61983355
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,273900,58146752
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,295938,66783597
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,424229,70593104
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,773938,75586713
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2046450,65261040
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,316681,69690560
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1250080,68825731
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,825977,74823031
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,517903,80454034
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,545799,90000624
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,690864,94669569
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1428950,91343288
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,577656,87877888
2018-07-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,545011,86138656
2018-07-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1104580,88232048
2018-07-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,929699,89999488
2018-07-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3584690,88042376
2018-07-23 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,3253590,80138304
2018-07-22 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,518759,80222512
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,480152,81945408
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,836507,89839920
2018-07-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1743090,94072792
2018-07-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1254670,92555624
2018-07-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1488870,85192728
2018-07-16 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,622235,79646808
2018-07-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,380725,79102952
2018-07-14 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,346993,77623560
2018-07-13 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,740561,80708776
2018-07-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1515920,78660080
2018-07-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,676551,79042760
2018-07-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1228780,88329904
2018-07-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1273390,88804960
2018-07-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2634150,93552608
2018-07-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2452610,95193880
2018-07-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3582840,103839128
2018-07-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7956880,119139440
2018-07-04 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,37065000,162746000
2018-07-03 00:00:00 +0000 UTC,0.2,0.5,0.2,0.3,259956000,100120872
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1334780,94105944
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,988107,92518848
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,945529,91185112
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,665239,86500088
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,590336,93401504
2018-06-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,626595,96120152
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,679300,101196160
2018-06-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,764907,96778656
2018-06-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,639821,103714928
