Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,407933
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,410588
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,398620
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128,209215
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,352312
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,348965
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,378604
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,331669
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170,450349
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,472378
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,487807
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,444565
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,635,300158
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,153871
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,215140
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,196863
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,214100
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,391433
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,247902
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,243414
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,338203
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,451,220342
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95,233509
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,194,280718
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,232,285254
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,283708
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,367462
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,348568
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,351801
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,357595
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,435339
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1674,474701
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,479570
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,474626
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122,493544
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,247,518948
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,506,573374
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,534529
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,512228
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,547458
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,593366
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,556551
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217,477235
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,495823
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132,504965
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,477222
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,460112
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,432229
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,776,469129
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,551483
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,277,475156
