Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21695,18666524
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25568,21083066
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27803,17835775
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23167,17323109
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23051,17398723
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29434,20562977
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23135,21663692
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30417,21337141
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30918,22781650
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22169,22211554
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34598,23416744
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21913,22352953
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43744,21115813
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42269,22725672
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24967,24277817
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57140,21932337
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53695,22935756
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33616,24505442
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40305,26909653
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23573,28087477
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24512,29756037
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33981,23696669
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26827,33486999
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49627,22848031
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29501,22630835
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38112,23131746
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39456,24288945
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45514,24589078
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42251,26269565
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52257,21614959
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28017,24435364
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66303,21235282
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26023,21247522
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25750,22767576
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26829,5374766
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,320,4351966
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,339,5306439
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,406,5049697
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3227,5531822
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454,5500259
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,321,5959252
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,644,5450637
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,661,5753441
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,414,5533962
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1073,5325771
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,319,5719094
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207,5787845
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191,5516400
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,580,5244790
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,447,5955545
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1835,5859603
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,659,6211512
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,624,7501625
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46173,7283178
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145346,6692346
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68267,5766816
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,670,5840916
