Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4411,246068
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7423,193458
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3579,178459
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3210,186141
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4342,184105
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3005,226678
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3424,171109
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6154,170314
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3147,219780
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3260,209096
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3019,132969
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3388,132003
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2462,153811
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2418,150058
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1194,150755
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1557,143829
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2706,295360
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3900,148412
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2195,143108
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2841,276251
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5958,331321
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3495,285299
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4784,296808
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5795,198841
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3186,339588
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5175,186103
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2544,340594
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5246,238879
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2556,349190
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4866,392571
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4996,369468
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,772,266934
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4456,257344
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5344,432937
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4629,405692
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6384,414671
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7181,431407
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6390,383802
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7609,329109
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5998,393221
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8923,399348
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4338,363799
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4178,340543
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7614,352322
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8793,355217
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5700,309632
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2928,350081
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2227,330481
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3909,378407
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7869,291758
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5119,301607
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2354,475950
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2715,492470
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13575,345298
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7710,345254
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6441,337539
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10413,336316
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12999,329898
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5986,334388
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5672,352695
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11063,332555
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8304,431364
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7114,317039
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4155,418141
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6059,511489
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8567,352819
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7753,354050
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22895,582523
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3021,419155
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12464,551300
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15899,497349
2018-06-20 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,46763,461968
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15629,389367
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5982,403871
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9906,386306
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4840,382925
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4647,416163
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8898,390553
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9846,454075
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15766,424925
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12173,384712
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7813,501466
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10071,424009
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8345,452656
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14122,495531
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18546,502074
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11801,594165
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43654,573938
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12086,541853
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7488,538440
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8954,583229
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14750,475060
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8562,457021
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12862,438921
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11750,463082
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12030,505058
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6493,525805
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,10449,691137
2018-05-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,41962,577771
2018-05-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,16392,612015
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,28156,753546
2018-05-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,116493,556435
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,11501,623096
2018-05-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,13578,710571
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10861,584526
2018-05-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18483,640796
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,28793,684438
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37126,699377
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44539,648799
2018-05-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20987,795810
2018-05-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26095,715986
2018-05-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20760,801456
2018-05-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21819,767011
2018-05-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23934,718816
2018-05-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39489,854411
2018-05-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44916,926597
2018-05-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,59575,1013183
2018-05-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48663,1010811
2018-05-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,137817,690331
2018-05-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,42821,528015
2018-05-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,28065,441121
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19003,313125
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17342,389374
2018-04-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,20083,475502
2018-04-28 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,20090,473908
2018-04-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19054,511918
2018-04-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,53708,0
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251,38445
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189,42909
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,587,39730
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1030,43422
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2333,40423
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1754,39698
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9604,79245
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11555,68658
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60428,38697
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1720,37797
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2585,34992
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3434,35622
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11589,24352
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,484,32209
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3517,26042
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1027,29793
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,496,31863
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1753,31530
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,329,30937
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,333,31340
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2201,32285
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3734,25279
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2609,32539
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,702,21924
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,272,24030
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379,24494
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,280,26868
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,676,33214
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,397,30828
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,799,30372
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1132,19246
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,511,33657
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,541,33155
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1293,20999
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1108,32058
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1910,29327
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1979,25511
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,721,19984
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658,36411
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,776,19529
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1598,25743
