Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,931127,7301977
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,920303,7398978
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1102850,7278810
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1434810,6766653
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1631730,7278243
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1757250,7187740
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,892757,6810601
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,532007,6846691
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,575034,6903214
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,632067,6911625
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,497947,7520857
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1400640,7250848
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1508050,8223540
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1126860,7173369
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,958694,7045439
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,556593,6368692
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,963670,7402907
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,992096,8528998
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,634693,8416296
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,641377,9210583
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1599610,10481670
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1503550,10072607
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1624300,10941030
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,709881,11431597
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83174,11666910
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74595,11490679
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73815,13637729
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122851,11251819
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,513234,12107478
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,861474,12265555
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236548,13248584
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,600088,14058988
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,622526,14717773
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139619,14787597
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,166664,14229440
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,311438,15238392
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,717713,15192973
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1415470,13940500
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,681267,16445638
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,396652,17276116
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,896038,16395587
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,729022,18990320
2018-07-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,737366,18712774
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1127270,18768190
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,629138,16915468
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,232681,15076946
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207918,15043130
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177316,14854968
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,947261,13763019
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,335066,15149244
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,262707,16650910
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168500,19040916
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,280634,18919636
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285129,20534434
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249095,20258148
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302671,20854944
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,330958,20580684
2018-07-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,252190,22030212
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,505938,22317894
2018-07-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,628190,21281616
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230716,21022712
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,477994,19312300
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,481066,18606330
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,584885,21026208
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,740954,22069516
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,941946,23678664
2018-06-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1037850,19811696
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,965498,22595008
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1355170,22328930
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,991657,24618756
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,517952,25858240
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,701564,26221822
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,784967,24672946
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,671516,25442058
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,527192,25519810
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,850301,25831382
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,845176,27340386
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,947772,25731356
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,867954,28601810
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,871554,30202616
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,685386,28187582
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1169810,35731088
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1120180,38784348
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,769703,37716912
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,690493,39213632
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1068520,42963492
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,796197,42126212
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,909602,50053012
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,741865,51055892
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,529523,50064004
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,764992,52826296
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1310830,50050588
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,689609,50775900
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1864650,45340076
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1003970,51362372
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1272200,55814752
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1259330,55589496
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,968400,59007768
2018-05-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1189480,55326688
2018-05-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17010300,59297956
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1649170,66036440
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1551310,63799092
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1199440,63630196
2018-05-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,837567,67663552
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1310190,64371796
2018-05-17 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1214610,72702472
2018-05-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,921602,77762656
2018-05-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1310930,80251880
2018-05-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1547070,82185232
2018-05-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1315580,77587912
2018-05-12 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,1407790,77554568
2018-05-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2451530,85619728
2018-05-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3380130,92878216
2018-05-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1911550,92123248
2018-05-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1704490,92575296
2018-05-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2247910,97244864
2018-05-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2775750,93040168
2018-05-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3558570,79300736
2018-05-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,3821350,89643176
2018-05-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7371690,0
2018-05-02 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,6375010,0
2018-05-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4622720,0
2018-04-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5412550,0
