Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98216,14988774
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129051,16678270
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180189,16099652
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148094,15549312
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103224,16394386
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139821,18529473
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150239,18216036
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217026,14902344
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145603,17031744
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103918,16061775
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130557,19528447
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94265,18236440
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113542,21564653
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243695,16269984
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252879,13705853
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76868,16098157
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225672,17470051
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,329175,18211562
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,201910,19613765
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139482,21130810
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197823,22369204
2018-08-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,173613,21087198
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,206381,23830703
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,336033,25110967
2018-08-06 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,331475,21784918
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102406,21297364
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84290,22285515
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129380,22325579
2018-08-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,189037,22310220
2018-08-01 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,433514,22001645
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,152346,24283219
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,195507,25661301
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,129157,25342450
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,108283,25396150
2018-07-27 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,270423,22595850
2018-07-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,237704,23078700
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102164,23515650
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,298146,21162450
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,201270,20334550
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,199914,19366100
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95027,18952050
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139681,20228750
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,300232,21139750
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,439880,20099000
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,398703,17103850
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226363,16747249
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101203,16543951
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99592,15804900
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75014,15205950
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81900,15526950
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85612,15803549
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170244,18948200
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146675,19808550
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128250,19412650
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122096,18026950
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160213,16980400
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130292,17990700
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132144,17807400
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116093,18004450
